,in_channels,hidden_channels,out_channels,max_epoch,learning_rate,margin,writer,tolerance,layer_type,err
0,13,32,256,1000,0.03834869422544907,5.151869552224117,,50,gcn,0.4005
1,13,256,256,1000,0.0701926798109354,0.6120964107439508,,50,gcn,0.44325
2,13,128,64,1000,0.054630341734320735,2.917801106511664,,50,gcn,0.5
3,13,256,512,1000,0.08215854128724373,0.19665170353130867,,50,gcn,0.5
4,13,512,256,1000,0.049716588640818064,4.30871244952333,,50,gat,0.474
5,13,64,32,1000,0.0064857055888127855,1.281924920162516,,50,transformer,0.44525
6,13,32,256,1000,0.010034900733641184,9.436673175013158,,50,gcn,0.5
7,13,32,256,1000,0.03205322946015195,3.213134243911556,,50,gcn,0.4835
8,13,32,64,1000,0.06891323346222655,6.408128598153732,,50,gat,0.44899999999999995
9,13,256,256,1000,0.08842275038837434,3.5503408670391314,,50,gcn,0.49
10,13,128,64,1000,0.03160206574730672,2.3799923923346853,,50,gcn,0.41800000000000004
11,13,32,128,1000,0.08921352835972003,7.708166622808194,,50,gat,0.49324999999999997
12,13,256,32,1000,0.009478254769868733,3.2127357181109018,,50,gat,0.45599999999999996
13,13,128,64,1000,0.005308363065498923,3.2651372519809962,,50,gcn,0.39825
14,13,128,64,1000,0.08766612515916551,6.69505007387507,,50,transformer,0.43825
15,13,128,64,1000,0.013363666910204852,3.9469849763409415,,50,gcn,0.4255
16,13,512,64,1000,0.05966065306322835,6.145276793619532,,50,gat,0.46975
17,13,64,512,1000,0.049070557495802206,6.709380978331842,,50,transformer,0.4415
18,13,256,32,1000,0.09272053709341112,8.434427535175166,,50,gat,0.48575
19,13,512,64,1000,0.04872990300893643,1.0614280437997847,,50,gat,0.45775
20,13,32,256,1000,0.04311847540053168,9.962569337714434,,50,gat,0.47675
21,13,512,64,1000,0.07135050308646035,9.997051521834418,,50,transformer,0.46875
22,13,128,256,1000,0.014657944457634641,6.418875728708241,,50,gcn,0.488
23,13,64,128,1000,0.05088590623537976,1.071980958177916,,50,transformer,0.45799999999999996
24,13,128,128,1000,0.026604649389338996,7.498771727256793,,50,transformer,0.472
25,13,128,256,1000,0.06405736161885789,6.9873642312070405,,50,gcn,0.44375
26,13,32,256,1000,0.014344686567149456,3.0229723825205945,,50,gat,0.47224999999999995
27,13,256,32,1000,0.003919818442493617,9.604239188488828,,50,transformer,0.44425
28,13,32,256,1000,0.03565006786946659,0.3874094947496154,,50,gat,0.44999999999999996
29,13,128,256,1000,0.03249726345594366,5.575760964727776,,50,gat,0.4585
30,13,256,256,1000,0.0981762735594356,4.601783325593033,,50,gcn,0.4935
31,13,512,128,1000,0.018889643204569796,2.3069288425364123,,50,gcn,0.4985
32,13,512,32,1000,0.05995089031651393,8.204839163788266,,50,transformer,0.47024999999999995
33,13,512,256,1000,0.02201867569240623,9.55779687779477,,50,gcn,0.46575
34,13,64,64,1000,0.06847989963258146,0.36835709718257226,,50,gcn,0.49975
35,13,32,512,1000,0.08301058591425557,4.614177738660629,,50,gat,0.364
36,13,256,128,1000,0.007732592819892259,5.28105080718369,,50,gat,0.44599999999999995
37,13,32,128,1000,0.01211688003967486,8.494624490210757,,50,transformer,0.4415
38,13,64,256,1000,0.09436353424590681,5.535457466796153,,50,transformer,0.4765
39,13,64,256,1000,0.05522895260515854,3.2235657125562955,,50,gcn,0.4725
40,13,32,512,1000,0.042431076525157194,5.577878818732955,,50,transformer,0.41225
41,13,128,128,1000,0.04883921163573242,1.212407592378294,,50,gcn,0.44399999999999995
42,13,512,128,1000,0.06635203270218742,0.17288445746840964,,50,gcn,0.5
43,13,256,256,1000,0.013061907584153154,6.150458121150411,,50,gat,0.45975
44,13,32,128,1000,0.006547492129266753,3.2828318744073237,,50,gcn,0.41275
45,13,64,64,1000,0.004989633988958687,3.851787364287186,,50,gat,0.45025
46,13,512,128,1000,0.08218742153119081,3.634108215183148,,50,transformer,0.44799999999999995
47,13,256,32,1000,0.025456731051384674,1.7360037806930806,,50,gcn,0.47224999999999995
48,13,32,64,1000,0.09932823466478596,5.180526780295423,,50,gcn,0.48775
49,13,128,256,1000,0.06624408928220915,1.4413167306481545,,50,gat,0.46175
