,in_channels,hidden_channels,out_channels,max_epoch,learning_rate,margin,writer,tolerance,layer_type,err
0,13,128,128,1000,0.002416034669286958,4.590941970323474,,50,pna,0.40175000000000005
1,13,512,512,1000,0.005023601104713825,9.285102447678938,,50,pna,0.42425
2,13,256,512,1000,0.003858002174153267,8.82741467545452,,50,gat,0.45475
3,13,128,512,1000,0.004729071874530179,1.3275788777954556,,50,pna,0.40725
4,13,512,128,1000,0.003961842613840668,1.7903321668882999,,50,gcn,0.40575000000000006
5,13,256,256,1000,0.0030747337565819885,1.8655247545600528,,50,transformer,0.44699999999999995
6,13,256,128,1000,0.0025179085200306987,6.298701509427158,,50,transformer,0.42775
7,13,512,128,1000,0.002927167184971723,6.490914565857347,,50,transformer,0.45725
8,13,64,256,1000,0.0027843693926664103,3.3983990960496135,,50,pna,0.37275
9,13,256,512,1000,0.0024589842718360424,9.400950593665316,,50,transformer,0.45425
10,13,64,128,1000,0.0011820524917092162,0.07910833646745052,,50,gat,0.4395
11,13,128,256,1000,0.0015003117427657192,4.126873899655314,,50,pna,0.344
12,13,128,256,1000,0.004523588716516076,7.824668130883659,,50,pna,0.39525
13,13,512,512,1000,0.0012357441216045812,5.815863429191859,,50,transformer,0.43275
14,13,128,64,1000,0.004833554771703584,3.0221958785503213,,50,pna,0.38525
15,13,512,256,1000,0.00179843598735221,6.64888692457482,,50,transformer,0.4595
16,13,512,64,1000,0.0025766467124740244,8.3098209720273,,50,gcn,0.41625
17,13,64,256,1000,0.000313397585165569,1.84946562923331,,50,gcn,0.3625
18,13,256,64,1000,0.0017699124183665376,0.70475687308584,,50,gcn,0.3775
19,13,128,256,1000,0.0030150892183035054,2.6652616663093087,,50,gat,0.40875
20,13,128,512,1000,0.0024836115140358136,5.171564420102383,,50,pna,0.3915
21,13,128,256,1000,0.0015122322431037232,9.748684730400905,,50,pna,0.372
22,13,64,64,1000,0.004073179070855677,7.220243616294853,,50,pna,0.39875000000000005
23,13,128,512,1000,0.0035338822122908463,2.2076768527682877,,50,gcn,0.44825
24,13,128,512,1000,0.0035614734222380977,6.120142900723976,,50,gcn,0.4
25,13,512,256,1000,0.004361706497165138,0.87774563582392,,50,gat,0.485
26,13,256,128,1000,0.0012364729678075864,5.296475928338051,,50,transformer,0.46425
27,13,256,128,1000,0.0022806096009301544,0.7685711425482822,,50,gat,0.45775
28,13,128,256,1000,0.0008062209356166194,3.152856313296435,,50,transformer,0.43625
29,13,64,64,1000,0.002648378470125696,4.192969330869878,,50,gat,0.43799999999999994
30,13,128,256,1000,0.001747595678413526,0.5749437100738497,,50,gcn,0.3925
31,13,512,64,1000,0.002684657305034696,8.919228486756353,,50,transformer,0.44375
32,13,128,256,1000,0.002456698328405875,0.5226597490584173,,50,pna,0.38975000000000004
33,13,512,256,1000,0.0030552778999863926,1.0941611133039564,,50,transformer,0.46499999999999997
34,13,512,256,1000,0.0048034527099302575,2.4834426433011645,,50,pna,0.40575000000000006
35,13,256,256,1000,0.001987230343204816,0.4832652694859674,,50,transformer,0.43999999999999995
36,13,64,512,1000,0.004442554734431541,3.2134709031516806,,50,transformer,0.4485
37,13,256,64,1000,0.0012384254426632223,4.446719661679773,,50,gcn,0.37525
38,13,256,128,1000,0.0009539383161205073,6.296374233607397,,50,transformer,0.378
39,13,128,512,1000,0.002589710104075155,4.559501789200927,,50,gat,0.46375
40,13,128,512,1000,0.0035434833532894975,7.4953015838075,,50,gcn,0.43724999999999997
41,13,64,512,1000,0.004261794716362499,8.586505616036355,,50,transformer,0.42600000000000005
42,13,64,256,1000,0.0037713175537207686,0.13285740953379754,,50,pna,0.4055
43,13,512,512,1000,0.003103758806665403,7.968016577655154,,50,gcn,0.4355
44,13,256,64,1000,0.00036588296797950774,1.1114649791961917,,50,gcn,0.35575
45,13,64,256,1000,0.00399503223263993,9.220211065069202,,50,gat,0.46025
46,13,64,128,1000,0.0035012662572046186,3.954944034918173,,50,gat,0.4635
47,13,256,512,1000,0.0004078937776761437,2.430786365213952,,50,gcn,0.39975000000000005
48,13,64,64,1000,0.002908350264788474,4.215235408699066,,50,gat,0.43724999999999997
49,13,64,512,1000,0.002525408750815834,2.9254258445779815,,50,transformer,0.4255
