,in_channels,hidden_channels,out_channels,max_epoch,learning_rate,margin,writer,tolerance,layer_type,err
0,13,256,32,1000,0.0590703680700632,0.24069294153484244,,50,transformer,0.378
1,13,512,128,1000,0.04799903110951321,8.035818781178074,,50,gcn,0.34175
2,13,128,128,1000,0.023683056598240104,4.65114979028148,,50,gcn,0.37024999999999997
3,13,512,512,1000,0.0120362985015535,0.11652844193721923,,50,gat,0.37775000000000003
4,13,128,512,1000,0.09923556058290263,3.904094560873391,,50,gat,0.3895
5,13,256,64,1000,0.09876890392687025,0.867272142568376,,50,gat,0.39525
6,13,32,256,1000,0.05196846434828602,3.6483742806117627,,50,transformer,0.38825
7,13,256,64,1000,0.07020347494217723,0.5332479784058153,,50,transformer,0.38225
8,13,32,128,1000,0.09147120165852808,3.0218210180582483,,50,gcn,0.3715
9,13,64,64,1000,0.006290802145112019,5.414461196113665,,50,transformer,0.3755
10,13,256,64,1000,0.08747072748049585,5.253617568568184,,50,transformer,0.398
11,13,64,64,1000,0.043247897927269116,4.810442202612707,,50,gcn,0.38425
12,13,128,512,1000,0.032909055129812584,9.368212487503701,,50,transformer,0.37925
13,13,128,512,1000,0.0465749094996903,9.490440527390462,,50,gat,0.39775000000000005
14,13,32,64,1000,0.05662991145651644,9.967065254955092,,50,gat,0.396
15,13,32,64,1000,0.0061761257568603185,4.732500674549306,,50,gcn,0.33699999999999997
16,13,512,256,1000,0.0032565038824125645,4.605044632317857,,50,transformer,0.36
17,13,64,256,1000,0.06620253467099856,5.965664124639564,,50,transformer,0.37175
18,13,128,64,1000,0.02349841448959029,8.994531059057843,,50,gcn,0.36224999999999996
19,13,32,32,1000,0.08620305300939013,1.7608825205970502,,50,gcn,0.388
20,13,64,512,1000,0.02371071692040877,9.775190807689082,,50,transformer,0.4035
21,13,512,64,1000,0.07264903544179627,4.124962215830058,,50,gat,0.40975
22,13,128,64,1000,0.005191659022120843,6.771075506265523,,50,transformer,0.38425
23,13,256,64,1000,0.09991037706902735,1.3577278591436914,,50,transformer,0.38975000000000004
24,13,64,128,1000,0.09484496856772545,3.7577528096556048,,50,transformer,0.40025
25,13,32,256,1000,0.09367060477847351,9.894830058813083,,50,gat,0.41225
26,13,32,512,1000,0.08118090786325034,7.493038882879222,,50,gat,0.38125
27,13,64,512,1000,0.07577467422962356,5.796852421813558,,50,gat,0.393
28,13,32,32,1000,0.06707182025189035,1.1048318588720674,,50,transformer,0.406
29,13,32,256,1000,0.050816104711513294,8.039964754043078,,50,gat,0.40225
30,13,128,64,1000,0.0431367846758955,6.280882342841104,,50,transformer,0.38975000000000004
31,13,64,128,1000,0.04479554254887973,2.482011736487011,,50,transformer,0.37825
32,13,64,256,1000,0.0030936037379899915,8.20931092068878,,50,transformer,0.36275
33,13,512,512,1000,0.09365416829966605,1.6563529433197155,,50,transformer,0.3655
34,13,64,128,1000,0.0436533903648378,6.405886337699533,,50,transformer,0.374
35,13,512,32,1000,0.022707863517156212,8.068211885590813,,50,gcn,0.3525
36,13,128,64,1000,0.0881262116268124,7.716981299367194,,50,transformer,0.45199999999999996
37,13,32,512,1000,0.023143916696324606,9.861407421914027,,50,transformer,0.38225
38,13,256,256,1000,0.08647282539022029,8.565546089766585,,50,transformer,0.3725
39,13,64,64,1000,0.011200309923429496,3.324003032662181,,50,gcn,0.384
40,13,32,128,1000,0.01411603136752142,7.813290858122846,,50,gcn,0.35775
41,13,512,64,1000,0.08419515731267209,2.790014313808482,,50,transformer,0.387
42,13,512,128,1000,0.0801065909153627,0.22425629567292327,,50,transformer,0.396
43,13,64,64,1000,0.05369457136919856,2.6905721600502908,,50,gcn,0.36575
44,13,256,256,1000,0.022019311383341733,4.7589354698078825,,50,gcn,0.37224999999999997
45,13,64,32,1000,0.056553611286567336,0.4373881865456297,,50,gcn,0.37175
46,13,256,512,1000,0.0380755094079914,7.692438823133204,,50,transformer,0.38025
47,13,128,64,1000,0.08236604801618504,4.736668259400194,,50,transformer,0.38025
48,13,256,128,1000,0.02643382425211597,9.612539515670717,,50,gat,0.38025
49,13,128,64,1000,0.035129259011891706,8.636944445752839,,50,transformer,0.37175
