,centroide_x,centroide_y,bin,n_comp,area_relative_to_image,area_relative_to_bbox,bbox_height,bbox_width
0,0.171875,0.9645833333333333,1,25,0.00026041666666666666,0.6666666666666666,3,2
1,0.315625,0.8017307692307692,1,25,0.004231770833333333,0.5078125,16,8
2,0.2734375,0.08958333333333333,1,25,0.00026041666666666666,1.0,2,2
3,0.38169642857142855,0.9005952380952381,1,25,0.0022786458333333335,0.3977272727272727,11,8
4,0.42221467391304346,0.7271739130434782,1,25,0.002994791666666667,0.4380952380952381,15,7
5,0.3515625,0.7583333333333333,1,25,0.00013020833333333333,1.0,2,1
6,0.4403698979591837,0.8360544217687075,1,25,0.0031901041666666666,0.47115384615384615,13,8
7,0.35625,0.8591666666666666,1,25,0.0003255208333333333,0.5555555555555556,3,3
8,0.4884129213483146,0.6830758426966292,1,25,0.011588541666666667,0.4708994708994709,18,21
9,0.3828125,0.7458333333333333,1,25,0.00013020833333333333,1.0,2,1
10,0.4036458333333333,0.7791666666666667,1,25,0.000390625,0.6666666666666666,3,3
11,0.4419642857142857,0.6428571428571428,1,25,0.0004557291666666667,0.4375,4,4
12,0.5957792207792207,0.8786796536796537,1,25,0.005013020833333334,0.5,14,11
13,0.4921875,0.9416666666666667,1,25,0.00013020833333333333,1.0,2,1
14,0.5260416666666666,0.7944444444444444,1,25,0.0001953125,0.75,2,2
15,0.6197916666666666,0.8138888888888889,1,25,0.0005859375,0.5625,4,4
16,0.609375,0.84375,1,25,0.00013020833333333333,1.0,1,2
17,0.6484375,0.9520833333333333,1,25,0.0005208333333333333,0.5,4,4
18,0.671875,0.8479166666666667,1,25,0.00013020833333333333,1.0,1,2
19,0.703125,0.925,1,25,6.510416666666667e-05,1.0,1,1
20,0.7533482142857143,0.6211309523809524,1,25,0.0009114583333333333,0.7777777777777778,6,3
21,0.75,0.9166666666666666,1,25,6.510416666666667e-05,1.0,1,1
22,0.8504464285714286,0.6053571428571428,1,25,0.0009114583333333333,0.3888888888888889,9,4
23,0.90625,0.5791666666666667,1,25,6.510416666666667e-05,1.0,1,1
24,0.9453125,0.8875,1,25,0.00013020833333333333,1.0,2,1
25,0.033854166666666664,0.275,2,25,0.000390625,0.6666666666666666,3,3
26,0.103515625,0.5947916666666667,2,25,0.0005208333333333333,0.6666666666666666,4,3
27,0.1863425925925926,0.5606481481481481,2,25,0.0017578125,0.45,10,6
28,0.16796875,0.96875,2,25,0.0005208333333333333,0.6666666666666666,3,4
29,0.20703125,0.0609375,2,25,0.0005208333333333333,0.6666666666666666,3,4
30,0.22916666666666666,0.9097222222222222,2,25,0.0001953125,0.75,2,2
31,0.265625,0.0875,2,25,0.0004557291666666667,0.7777777777777778,3,3
32,0.2734375,0.5833333333333334,2,25,0.000390625,0.5,4,3
33,0.2890625,0.00625,2,25,0.00026041666666666666,1.0,2,2
34,0.359375,0.5625,2,25,0.0001953125,1.0,3,1
35,0.3697916666666667,0.548611111111111,2,25,0.0001953125,0.75,2,2
36,0.390625,0.5875,2,25,0.0001953125,1.0,3,1
37,0.4296875,0.9291666666666667,2,25,0.00013020833333333333,1.0,2,1
38,0.4795673076923077,0.5455128205128206,2,25,0.0008463541666666667,0.8666666666666667,5,3
39,0.5677083333333334,0.538888888888889,2,25,0.0001953125,0.75,2,2
40,0.6171875,0.027083333333333334,2,25,0.00026041666666666666,1.0,2,2
41,0.6979166666666666,0.6902777777777778,2,25,0.000390625,0.5,4,3
42,0.7046875,0.9729166666666667,2,25,0.0006510416666666666,0.8333333333333334,6,2
43,0.73125,0.49,2,25,0.0003255208333333333,0.8333333333333334,3,2
44,0.7421875,0.5,2,25,0.00013020833333333333,1.0,2,1
45,0.7734375,0.007291666666666667,2,25,0.00026041666666666666,0.5,4,2
46,0.8671875,0.019444444444444445,2,25,0.000390625,0.5,6,2
47,0.8515625,0.9791666666666666,2,25,0.00026041666666666666,1.0,4,1
48,0.8872767857142857,0.9526785714285714,2,25,0.0018229166666666667,0.5833333333333334,8,6
49,0.875,0.496875,2,25,0.0005208333333333333,0.6666666666666666,4,3
50,0.0546875,0.5041666666666667,3,24,0.000390625,1.0,2,3
51,0.13620283018867924,0.4645440251572327,3,24,0.0034505208333333332,0.4076923076923077,10,13
52,0.06875,0.5258333333333334,3,24,0.0003255208333333333,0.8333333333333334,2,3
53,0.1171875,0.3729166666666667,3,24,0.00026041666666666666,1.0,2,2
54,0.171875,0.9645833333333333,3,24,0.00078125,0.6666666666666666,3,6
55,0.209375,0.06222222222222222,3,24,0.0009765625,0.5357142857142857,4,7
56,0.21875,0.24765625,3,24,0.0010416666666666667,0.5,4,8
57,0.21875,0.28125,3,24,0.00026041666666666666,0.6666666666666666,3,2
58,0.2109375,0.9333333333333333,3,24,0.00026041666666666666,0.6666666666666666,2,3
59,0.23883928571428573,0.4357142857142857,3,24,0.0004557291666666667,0.875,4,2
